Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
2/8/2000,10H 7M 0S,Embraer EMB-110 Bandeirante,Sabin Air,C9-AUH,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Yes,City,Maputo - Manzini,110-186,1978,NA,Maputo Maputo City District,Mozambique,Africa,2,0,16,0,1,1,"Shortly after takeoff from Maputo Airport in excellent weather conditions, the aircraft lost height and crashed onto several houses located in the 25th June district near the airport. The aircraft was destroyed and all 18 occupants were rescued. Unfortunately, a woman in a house was killed. All passengers were students going back home.",Unknown
2/11/2000,8H 15M 0S,Mitsubishi MU-2 Marquise,American Check Transport,N152BK,Landing (descent or approach),Cargo,No,Airport (less than 10 km from airport),Boise – Lewiston,1537,1982,NA,Lewiston Idaho,United States of America,North America,1,1,0,0,0,1,"The airplane impacted a ridgeline about 1.5 miles from the runway and approximately 7 to 14 seconds after the pilot reported a dual engine flameout. The airplane's altitude was about 400 feet agl when the pilot reported the flameout. The inspection of the airplane revealed no preexisting anomalies. Icing conditions were forecast and PIREPS indicated that light to moderate rime/mixed icing conditions existed along the route of flight. The Continuous Ignition switches were found in the OFF position. The Approach procedures listed in the Airplane's Flight Manual stated, 'CONTINUOUS IGNITION SHALL BE SELECTED TO ON DURING APPROACH AND LANDING WHILE IN OR SHORTLY FOLLOWING FLIGHT IN ACTUAL OR POTENTIAL ICING CONDITIONS.' The aircraft manufacturer had issued a Service Bulletin in 1995 for the installation of an auto-ignition system to '... reduce the possibility of engine flame-out when icing conditions are encountered and the continuous ignition is not selected.' The operator had not installed the non-mandatory service bulletin. On May 5, 2000, the FAA issued an Airworthiness Directive that required the installation of an auto-ignition system. The toxicology test detected extremely high levels of dihydrocodeine in the pilot's blood. The pilot received a special issuance second-class medical certificate on August 22, 1995, after receiving treatment for a self disclosed history of drug abuse. The drug testing that this pilot underwent as a consequence of his previous self disclosed history of drug abuse would not have detected these substances.",Human factor
2/12/2000,14H 20M 0S,Boeing 727-100,Transafrik,S9-NAZ,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Salima - Luanda,19404,1967,NA,Luanda-4 de Fevereiro Luanda,Angola,Africa,7,0,0,0,0,0,"Following an uneventful cargo flight from Salima, the crew started the descent to Luanda-4 de Fevereiro Airport runway 23. Due to very bad weather conditions, the aircraft was unstable on final and the pilot decided to initiate a go-around. Few minutes later, while attempting a second approach to land, the aircraft was rolling left and right, causing the right wing to hit the runway surface. The aircraft landed hard, broke in two and came to rest few hundred metres further on the main runway. All seven occupants escaped uninjured while the aircraft was damaged beyond repair. It was reported that weather conditions were very bad at the time of the accident with heavy rain falls and wind gusting from 50 to 80 knots.",Human factor
2/16/2000,19H 52M 0S,Douglas DC-8,Emery Worldwide Airlines,N8079U,Landing (descent or approach),Cargo,No,Airport (less than 10 km from airport),Sacramento - Dayton,45947,1968,NA,Sacramento-Mather California,United States of America,North America,3,3,0,0,0,3,"On February 16, 2000, about 1951 Pacific standard time, Emery Worldwide Airlines, Inc., (Emery) flight 17, a McDonnell Douglas DC-8-71F (DC-8), N8079U, crashed in an automobile salvage yard shortly after takeoff, while attempting to return to Sacramento Mather Airport (MHR), Rancho Cordova, California, for an emergency landing. Emery flight 17 was operating under the provisions of 14 Code of Federal Regulations (CFR) Part 121 as a cargo flight from MHR to James M. Cox Dayton International Airport (DAY), Dayton, Ohio. The flight departed MHR about 1949, with two pilots and a flight engineer on board. The three flight crew members were killed, and the airplane was destroyed. Night visual meteorological conditions prevailed for the flight, which operated on an instrument flight rules (IFR) flight plan.",Technical failure
2/23/2000,9H 25M 0S,Cessna 402,Ingenio y Refinería San Martín del Tabacal,LV-MEW,Landing (descent or approach),Executive/Corporate/Business,No,Mountains,Orán – Salta,402B-1310,1977,NA,Mojotoro Salta,Argentina,South America,2,2,2,2,0,4,"The twin engine aircraft departed Orán Airport at 0845LT on an executive flight to Salta, carrying two passengers and two pilots. At 0910LT, while flying under VFR mode, the crew reported his position over Moxat at an altitude of 8,000 feet. At 0923LT, he informed ATC about his position 15NM northeast of Salta Airport and was instructed to contact Salta Tower. Shortly later, the aircraft struck the slope of a mountain (Finca el Desmonde) located near Mojotoro. The aircraft disintegrated on impact and all four occupants were killed.",Human factor
3/9/2000,8H 43M 0S,Yakovlev Yak-40,Vologda Air Enterprise - Vologodskoe Aviapredpriatie,RA-88170,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),No,Airport (less than 10 km from airport),Moscow - Kiev,9 62 08 47,1976,NA,Moscow-Sheremetyevo Moscow oblast,Russia,Asia,5,5,4,4,0,9,"The initial STD was 0800LT but as the passengers were late, the departure was postponed. Apparently to avoid to miss the slot, the crew precipitated the departure. After liftoff, the undercarriage were retracted immediately. At a speed of 230 km/h, the aircraft climbed to a height of 15 metres then rolled to the left at an angle of 65° and crashed 1,200 metres from the departure point. The aircraft was destroyed by impact forces and there was no fire. All nine occupants were killed, among them the Russian journalist Artiom Borovik. At the time of the departure, there were snow falls at Moscow Airport.",Human factor
3/17/2000,12H 30M 0S,Douglas C-47 Skytrain (DC-3),Points North Air,C-FNTF,Landing (descent or approach),Cargo,No,"Lake, Sea, Ocean, River",Points North Landing - Ennadai Lake,12344,1944,NA,Ennadai Lake Nunavut,Canada,North America,2,2,0,0,0,2,"The Douglas DC-3 departed Points North Landing, Saskatchewan, about 1125 central standard time on a visual flight rules flight to Ennadai Lake, Nunavut, with two pilots and 6600 pounds of cargo on board. The flight was one of a series of flights to position building materials for the construction of a lodge. The pilots had completed a similar flight earlier in the day. The runway at Ennadai, oriented northeast/southwest, was an ice strip about 2700 feet long by 150 feet wide marked with small evergreens. The ice strip was constructed on the lake, and the approaches were flat, without obstacles. The snow was cleared so there were no snow ridges on the runway ends. The arrival at Ennadai Lake, toward the southwest, appeared to be similar to previous arrivals. The aircraft was observed to touch down nearly halfway along the ice strip, the tail of the aircraft remained in the air, and the aircraft took off almost immediately. The main landing gear was seen to retract. The aircraft reached the end of the runway then abruptly entered a steep, nose-up attitude, banked sharply to the left, turned left, and descended into the ice. The left wing made first contact with the ice. The aircraft rotated around the left wing and struck the ice in a steep, nose-down attitude about 400 feet from the end of the ice strip. There was no fire. The crew were killed instantly. Canadian Forces rescue specialists were air-dropped to the site on the day of the accident.",Other causes
3/17/2000,10H 47M 0S,Embraer EMB-110 Bandeirante,Skypower Express Airways,5N-AXM,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Abuja - Jos,110-446,1984,NA,Kaduna-Intl Kaduna,Nigeria,Africa,3,0,3,0,0,0,"On the day of the accident, the aircraft was engaged in a charter operation for the Central Bank of Nigeria. The first segment of the flight (Lagos - Abuja) was flown by the Commander. The aircraft departed Lagos about 0630 hours UTC and initially at cruise, the crew had a momentary problem setting power on the starboard engine after which the flight continued normally to Abuja. The aircraft which departed Abuja for Jos at 0900 hours UTC had 6 souls on board, 5 hours endurance with the first officer at the controls. At FL 90 and about 30NM from Abuja, the crew again had problems with the cruise power setting on the starboard engine. The torque remained at 1400. The crew retarded the right power lever to the minimum with the aim of achieving a cruise setting of 1300 but the gear warning came on. The Commander at this stage took over the controls from the first officer. At 0923 hours UTC, the aircraft contacted Kaduna Tower that it would be diverting to Kaduna as against its scheduled destination giving its flight level as 90 at a distance of 61 miles and estimating TMA at 24 miles, 'KC' at 41 miles, 6 souls on board and 5 hours endurance at departure. The tower then gave the aircraft an inbound clearance to 'KC' locator maintaining FL 90 and to expect no delay for a locator approach runway 05. Weather report at 0900 hours UTC was also passed to the aircraft as wind 090/05 knots, QNH 1014 and temperature 30°c. At 0928 hours UTC the airplane at about 42 miles, speed between 150-160 kts, requested descent and was cleared to 4,500H, QNH 1014. At about 0935 hours UTC, the pilots contacted tower that they would make a single engine approach because they were having problems controlling power on the starboard engine and it would be shut down. The tower in response, asked whether they would need fire coverage on landing to which the pilots affirmed. The commander then reviewed the single engine approach with the first officer estimating 4,500 ft at 8NM. Approaching 4,500 ft at 11 NM, the crew initiated right engine shut down after which the speed was decayed from 150 to 140 kts. At 0946 hours UTC, the pilot reported 6nm final and field in sight while the tower requested hire to report 4 miles final. Shortly, the controller reported having the aircraft in sight and subsequently cleared it to land on runway 05 giving wind as north easterly 06 knots. Descending at 500ft/min, the commander requested for 25% of flap when the first officer selected full flap. Shortly, the speed started decaying and bleeding faster. When the aircraft was at 2,700 ft high, the speed had already decayed to between 100 - 110 kts. The crew applied full power on the port engine to arrest the speed decay but to no avail . The pilot was trying to correct the descent rate, speed decay and the asymmetry when the stall warning came on. At this juncture, all effort by the controller to establish further contact with the airplane proved abortive. Suddenly, the controller observed a gust of dust in the atmosphere which gave him an indication that the aircraft had crashed. The aircraft crashed into the new VOR/DME site being constructed about 1175m from the threshold of runway 05. Time of accident was 0947 hours UTC.",Technical failure
3/21/2000,NA,Beechcraft 90 King Air,Menekse Air,TC-LMK,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Ankara - Bursa,LJ-1080,1984,NA,Bursa Marmara Region (Marmara Bölgesi),Turkey,Asia,1,0,4,1,0,1,"On final approach to Bursa-Yenisehir Airport, the pilot encountered poor weather conditions. Due to low visibility, he was unable to establish a visual contact with the approach and runway lights and initiated a go-around procedure. While completing a circuit, the twin engine aircraft struck the top of a hill located near the airport and crashed. A passenger was killed while four other occupants were injured.",Human factor
3/24/2000,18H 4M 0S,Antonov AN-12,Sky Cabs,RA-11302,Landing (descent or approach),Cargo,Yes,Airport (less than 10 km from airport),Bangkok - Colombo,8 3 460 04,1968,NA,Colombo-Bandaranaike Western Province (<U+0BAE><U+0BC7><U+0BB2><U+0BCD> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>),Sri Lanka,Asia,8,6,0,0,3,9,"The Sky Cabs flight SCB701 originated in Colombo (Bandaranaike International Airport Colombo - hereinafter known as BIA Colombo), Sri Lanka at 1940 hours on 23rd March 2000. It landed in Bangkok, Thailand at 0120 hours on the following day after an uneventful flight. The alternate airport for Bangkok was Rayong/Ban U-Taphao (VTBU). The crew had recent experience in operating AN 12 flights between BIA Colombo and Bangkok International Airport, Thailand. The same flight crew made the return flight back to BIA Colombo after 4 hours and 20 minutes ground time in Bangkok. The crew had received the weather report from Aero Meteorological Division (AMD), prior to departure. An air traffic control flight plan was filed to BIA Colombo, the filed alternate airport was Male International (VRMM) in the Republic of Maldives. The aircraft was refueled adding 6681 kgs of fuel to the remaining 8300 kgs bringing the total fuel onboard to 14981 kg. Flight SCB702, cargo flight, departed Bangkok at 0540 hours on 24th March 2000 to BIA Colombo. The scheduled flight time for Bangkok – BIA Colombo was five hours and twenty minutes with a scheduled time of arrival of 1100 hours (17:00 hours Sri Lanka time). SCB702 made the first radio contact with Sri Lanka air traffic control at 1016 hours. The area controller passed SCB702 the latest weather report effective for BIA Colombo and later, a Sigmet valid at the time. When the control of the flight was handed to the approach radar controller (Director) by the area controller, at 1042 hours SCB 702 was asked to report his radial and DME from Colombo, (i.e. from “DVOR/DME KAT”). SCB702 reported as saying “074 radial and 55 DME ready for descent”, thus the two-way communication was established. Later, the flight SCB702 made two unsuccessful ILS approaches to runway 04. While on a radar heading to get established on the ILS to Runway 22 for a third attempt to land, the aircraft crashed 1.2 N.M. north-northwest of the threshold of Runway 22 (3.2 N.M. north-northeast of the DVOR/DME 'KAT') at BIA Colombo at 1204 hours (or 1804 hours in the evening, local time) on 24th March 2000. Six crew members and three people on the ground were killed.",Technical failure
4/2/2000,NA,Piper PA-31-350 Navajo Chieftain,Foster Webb Air Charter,ZS-NGV,Takeoff (climb),Cargo,Yes,Airport (less than 10 km from airport),NA,31-7952071,1979,NA,Manzini-Matsapha All Swaziland,Swaziland,Africa,2,1,1,1,0,2,"Following a night takeoff from Manzini-Matsapha Airport, the twin engine aircraft struck power cables and crashed. The captain survived while the copilot and the passenger, a company mechanic, were killed. It was reported that a turbocharger fitted to one of the engines was not compliant. Also, the pilot's licence was forged. Poor engine maintenance was identified.",Human factor
4/15/2000,7H 43M 0S,Cessna 404 Titan,Superior Aviation,N26SA,Takeoff (climb),Cargo,Yes,Airport (less than 10 km from airport),Lansing - Caro,404-0225,1978,NA,Lansing Michigan,United States of America,North America,1,0,0,0,0,0,"The pilot was departing from Lansing, Michigan, when he reported engine problems. The aircraft subsequently lost power to both engines. Fuel receipts were found that indicate that the aircraft was serviced with 25 gallons of jet fuel in each wing tank. No preexisting anomalies were found with regard to the aircraft or its systems. An FAA inspector interviewed the person that had fueled the aircraft and that person stated he had used a JET-A fuel truck to fuel the accident aircraft. The inspector also interviewed the safety director of the company that provided the fueling service. The safety director told the inspector that the fuel truck used to fuel the accident aircraft was found to have a small nozzle installed on one of the hoses and not the wide nozzle used on jet fueling trucks. He also said that, '...the small nozzle was used for the purpose of fueling tugs at the airport and that the small nozzles were immediately removed from all jet refueling trucks so that this could not happen again.'",Human factor
4/19/2000,NA,Cessna 208B Grand Caravan,Kivu Air,ZS-ONT,Flight,Charter/Taxi (Non Scheduled Revenue Flight),No,"Plain, Valley",NA,208B-0220,1990,NA,Bukavu Sud-Kivu,Democratic Republic of Congo,Africa,1,1,1,1,0,2,"Crashed in unknown circumstances in the Kahuzi-Biega National Park near Bukavu, killing both occupants.",Unknown
4/19/2000,NA,Antonov AN-8,Centrafricain Airlines,TL-ACM,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),No,Airport (less than 10 km from airport),Pepa - Kigali,9340706,1959,NA,Pepa Katanga,Democratic Republic of Congo,Africa,4,4,20,20,0,24,"Shortly after takeoff from Pepa Airport, while in initial climb, the aircraft collided with a flock of birds that struck both engines. The aircraft lost height and crashed past the runway end, bursting into flames. All 24 occupants were killed, among them several officers from the Rwanda Army, one major, two captains, two lieutenants and some soldiers who were returning to Kigali after taking part to a presidential ceremony.",Other causes
4/30/2000,5H 48M 0S,Douglas DC-10,DAS Air Cargo - Dairo Air Services,N800WR,Landing (descent or approach),Cargo,Yes,"Lake, Sea, Ocean, River",London - Entebbe,46955/228,1976,NA,Entebbe Central,Uganda,Africa,7,0,0,0,0,0,"The aircraft departed London-Gatwick Airport on a cargo flight to Entebbe, carrying seven crew members and a load of 50 tons of various goods. After landing by night on runway 17, the aircraft was unable to stop within the remaining distance (runway 17/35 is 12,000 feet long), overran and plunged in the Lake Victoria. The aircraft broke in two and all seven crew members were rescued 10 minutes later.",Human factor
5/2/2000,14H 39M 0S,Learjet 35,Northern Executive Aviation,G-MURI,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Yes,Airport (less than 10 km from airport),Farnborough - Nice,35-646,1988,NA,Lyon-Saint Exupéry (ex Satolas) Rhône,France,Europe,2,2,3,0,0,2,"The aircraft departed Farnborough Airport at 11h22 on a charter flight to Nice with two pilots and three passengers on board, among them the F1 driver David Coulthard. At 12h22, cruising at FL390, the left engine of the aircraft suffered a failure. The crew shut down and began to descend. They declared an emergency and asked to fly to the nearest aerodrome with a runway longer than one thousand six hundred metres. Lyon-Satolas Airport, located about 62 NM away left abeam of the aircraft, was proposed. The descent with one engine shut down towards Lyon-Satolas was undertaken under radar guidance, at a high speed and with a high rate of descent. At 12h35, the pilot stabilised the aircraft at 3,000 feet, intercepted the runway 36L ILS and was cleared to land. The final was started at 233 knots according to radar data and the slow down progressive. At 12h36 min 45 s, the flaps were extended to 8°. According to the radar data, the aircraft was then at 2,400 feet, 4,4 NM from the runway threshold and at a speed of 184 knots. At 12h36 min 58 s, the landing gear was extended. At 12h37 in 03 s, the flaps were set to 20°. According to the radar data, the aircraft was then at 2,100 feet, 3,5 NM from the runway threshold at a speed of 180 knots. No malfunctions or additional problems were announced to the ATC by the crew during the final approach. At 12h38 min 08 s, the copilot told the captain that the aircraft was a little low. According to the radar data, the aircraft was then at 1,100 feet, 0,9 NM from the runway threshold at a speed of 155 knots. At 12h38 min 17 s, he repeated his warning and announced a speed 10 knots above the approach reference speed. At 12h38 min 22 s, the copilot again stated that the aircraft was a little low on the approach path and immediately afterwards asked the captain to increase the thrust. According to the radar data, the aircraft was then at 900 feet, 0,1 NM from the runway threshold at a speed of 150 knots. At 12h38 min 24 s, the captain indicated that he was losing control of the aircraft. The aircraft, over the runway threshold, banked sharply to the left, touched the ground with its wing, crashed and caught fire. Both pilots were killed while all three passengers evacuated with minor injuries.",Technical failure
5/3/2000,NA,Britten-Norman Islander,Trans Guyana Airways,8R-GAC,Landing (descent or approach),Cargo,No,Mountains,NA,694,1973,NA,Kurupung Cuyuni-Mazaruni,Guyana,South America,1,1,0,0,0,1,"The twin engine aircraft was descending to Kurupung Airstrip in marginal weather conditions when it collided with trees and crashed in a wooded area located in hilly terrain. The pilot, sole on board, was killed. The aircraft was on its way to Kurupung to deliver fuel drums.",Human factor
