Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
4/1/2000,9H 50M 0S,Cessna 421C Golden Eagle III,TAM Bolivia - Transporte Aéreo Militar Boliviano,FAB-014,Landing (descent or approach),Military,No,Airport (less than 10 km from airport),La Paz - Santa Cruz,NA,NA,NA,La Paz-El Alto La Paz,Bolivia,South America,2,2,2,2,0,4,"The twin engine aircraft departed La Paz-El Alto Airport on a flight to Santa Cruz, carrying two pilots and two technicians. After takeoff, the crew declared an emergency after the right engine failed during initial climb and was cleared to return. On final, the aircraft crashed 500 metres short of runway, bursting into flames. All four occupants were killed.",Technical failure
4/2/2000,14H 40M 0S,Cessna 441 Conquest,Lufttaxi Flug,D-IEGA,Flight,Training,No,"Plain, Valley",Dortmund - Dortmund,441-0193,1980,NA,Ascheberg North Rhine-Westphalia,Germany,Europe,2,2,0,0,0,2,"The crew (one instructor and one pilot under training) departed Dortmund-Wickede Airport for a training mission. At an altitude of 3,200 feet, while completing stall exercises, the crew lost control of the airplane that crashed in a flat attitude in a sandy field located near Ascheberg, bursting into flames. Both occupants were killed.",Unknown
4/5/2000,13H 52M 0S,Piper PA-60 Aerostar (Ted Smith 600),Biodata,D-ILIA,Landing (descent or approach),Training,No,Airport (less than 10 km from airport),Aschaffenburg – Hahn,62-0917-8165042,1981,NA,Hahn Rhineland-Palatinate,Germany,Europe,2,2,0,0,0,2,"The twin engine aircraft departed Aschaffenburg Airport on a training flight to Hahn with two pilots on board, one instructor and one pilot under supervision who was completing his type rating qualification. On approach to Hahn Airport runway 03 in marginal weather conditions, at an altitude of 4,350 feet and at a speed of 150 knots, the aircraft entered an uncontrolled descent. The rate of descent was up to 2,800 feet during the last four seconds before the aircraft crashed in an almost vertical position in a wooded area located about 9 km short of runway. The aircraft disintegrated on impact and both occupants were killed. At the time of the accident, weather conditions were as follow: overcast with few clouds at 200 feet, light rain possible on approach, moderate icing conditions possible in clouds, visibility one km and RVR runway 03 1,300 metres.",Unknown
4/5/2000,9H 30M 0S,Learjet 35,Bankair,N86BE,Landing (descent or approach),Training,No,Airport (less than 10 km from airport),Miami - Marianna,35-194,1978,NA,Marianna Florida,United States of America,North America,3,3,0,0,0,3,"The pilot canceled the IFR flight plan as the aircraft crossed the VOR and reported the airport in site. The last radio contact with Air Traffic Control was at 0935:16. The crew did not report any problems before or during the accident flight. The distance from the VOR to the airport was 4 nautical miles. Witnesses saw the airplane enter right traffic at a low altitude, for a landing on runway 36, then turn right from base leg to final, less than a 1/2-mile from the approach end of the runway. Witnesses saw the airplane pitch up nose high, and the right wing dropped. The airplane than struck trees west of the runway, struck wires, caught fire, and impacted on a hard surface road. This was a training flight for the left seat pilot to retake a Learjet type rating check ride he had failed on March 24, 2000. He failed the check ride, because while performing an ILS approach in which he was given a simulated engine failure, and he was transitioning from instruments to VFR, he allowed the airspeed to decrease to a point below Vref [landing approach speed]. According to the company's training manual, ""...if a crewmember fails to meet any of the qualification requirements because of a lack in flight proficiency, the crewmember must be returned to training status. After additional or retraining, an instructor recommendation is required for reaccomplishing the unsatisfactory qualification requirements."" The accident flight was dispatched by the company as a training flight. On the accident flight a company check airman was in the right seat, and the check ride was set up for 0800, April 5,2000. The flight arrived an hour and a half late. The left seat pilot's, and the company's flight records did not indicate any training flights, or any other type of flights, for the pilot from March 24, 2000, the date of the failed check flight, and the accident flight on April 5, 2000. The accident flight was the first flight that the left seat pilot was to receive retraining, and was the only opportunity for him to demonstrate the phase of flight that he was unsuccessful at during the check flight on March 24th. Examination of the airframe and engine did not reveal any discrepancies.",Human factor
5/10/2000,20H 31M 0S,Rockwell Sabreliner 65,Price Aircraft Company,N241H,Landing (descent or approach),Executive/Corporate/Business,No,Airport (less than 10 km from airport),Papeete – Christmas Island – Kahului – Molokai,465-5,1979,NA,Molokai Hawaii,United States of America,North America,2,2,4,4,0,6,"The airplane collided with mountainous terrain after the flight crew terminated the instrument approach and proceeded visually at night. The flight crew failed to brief or review the instrument approach procedure prior to takeoff and exhibited various cognitive task deficiencies during the approach. These cognitive task deficiencies included selection of the wrong frequency for pilot controlled lighting, concluding that the airport was obscured by clouds despite weather information to the contrary, stating inaccurate information regarding instrument approach headings and descent altitudes, and descending below appropriate altitudes during the approach. This resulted in the crew's lack of awareness regarding terrain in the approach path. Pilots approaching a runway over a dark featureless terrain may experience an illusion that the airplane is at a higher altitude that it actually is. In response to this illusion, referred to as the featureless terrain illusion or black hole phenomenon, a pilot may fly a lower than normal approach potentially compromising terrain clearance requirements. The dark visual scene on the approach path and the absence of a visual glideslope indicator were conducive to producing a false perception that the airplane was at a higher altitude. A ground proximity warning device may have alerted the crew prior to impact. However, the amount of advanced warning that may have been provided by such a device was not determined. Although the flight crew's performance was consistent with fatigue-related impairment, based on available information, the Safety Board staff was unable to determine to what extent the cognitive task deficiencies exhibited by the flight crew were attributable to fatigue and decreased alertness.",Human factor
5/30/2000,16H 20M 0S,Beechcraft 90 King Air,Government of the State of Goiás,PP-EFC,Landing (descent or approach),Government,Yes,"Plain, Valley",Itapuranga - Goiânia,LW-15,1972,NA,Goiânia Goiás,Brazil,South America,2,0,7,0,0,0,"The twin engine aircraft departed a private strip in Itapuranga on a flight to Goiânia, carrying seven passengers and two pilots. About 10 minutes after takeoff, while in cruising altitude, the captain informed ATC about the failure of the right engine. Because the flight was short (25 minutes in total), he decided to continue to Goiânia. Twelve minutes later, the left engine failed as well. The crew declared an emergency and as he was unable to reach Goiânia Airport, he attempted an emergency landing in a pasture. The aircraft crash landed 13 km short of runway 14 threshold. All nine occupants were rescued, among them seven were injured, three seriously.",Human factor
5/31/2000,17H 28M 0S,Cessna 414 Chancellor,Lynch Flying Service,N5113G,Flight,Executive/Corporate/Business,No,Mountains,Great Falls - Billings,414-0952,1977,NA,Monarch Montana,United States of America,North America,2,2,1,1,0,3,"During climbout, the airplane encountered an area of freezing rain resulting in rapid airframe ice accretion and loss of climb capability. The pilot informed ATC that he was unable to maintain altitude and requested and received clearance back to Great Falls, the departure airport. ATC radar showed that the airplane then began a right turn over mountainous terrain extending up to 8,309 feet prior to loss of radar contact (lower and relatively flat terrain, down to less than 5,000 feet, was located to the left of the aircraft's track.) During the last minute of radar contact, the aircraft was in a right turn at a descent rate of about 400 feet per minute; the aircraft passed less than 1/2 mile from the 8,309-foot mountain summit just prior to loss of radar contact, at an altitude of 8,400 to 8,500 feet. The aircraft crashed on the southwest flank of the 8,309-foot mountain about 1/2 mile south of the last recorded radar position. Wreckage and impact signatures at the crash site were indicative of an inverted, steep-angle, relatively low-speed, downhill impact with the terrain. The investigation revealed no evidence of any aircraft mechanical problems.",Weather
6/2/2000,12H 40M 0S,Cessna 401,Air Century,HI-696CT,Takeoff (climb),Training,Yes,Airport (less than 10 km from airport),La Romana - La Romana,401-0021,1967,NA,La Romana La Romana,Dominican Republic,Central America,2,1,0,0,0,1,"On June 2, 2000, about 1240 Atlantic standard time, a Cessna 401, Dominican Republic registration HI-696CT, registered to and operated by Air Century, crashed shortly after takeoff from La Romana International Airport, La Romana, Dominican Republic, while on an instructional flight. Visual meteorological conditions prevailed at the time and no flight plan was filed. The aircraft was destroyed. The commercial-rated pilot received fatal injuries. The commercial-rated second pilot received serious injuries. The flight was originating at the time of the accident. Civil aviation authorities stated that the flight was an instructional flight. Shortly after takeoff on runway 12, the pilot simulated the failure of the left engine. Control of the aircraft was lost and the aircraft crashed 350 meters from the runway. Examination of the aircraft and engines showed no mechanical anomalies.",Human factor
6/3/2000,18H 46M 0S,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Private German,D-EEII,Flight,Executive/Corporate/Business,No,"Plain, Valley",Jersey - Allendorf,46-08036,1986,NA,Thury-en-Valois Oise,France,Europe,1,1,5,5,0,6,"The single engine airplane, owned by a German company based in Allendorf, departed Jersey Island on a flight to Allendorf-Eder Airport. While in cruising altitude over the east part of Paris in poor weather conditions, the aircraft entered an uncontrolled descent and crashed in a colza field located in Thury-en-Valois. The aircraft was totally destroyed by impact forces but did not catch fire. All six occupants were killed. At the time of the accident, the airplane was flying in very poor weather conditions with thunderstorm activity.",Weather
6/5/2000,10H 31M 0S,Piper PA-31-350 Navajo Chieftain,Key Lime Air,N67BJ,Flight,Training,No,"Plain, Valley",Denver - Denver,31-7952250,1979,NA,Kiowa Colorado,United States of America,North America,2,2,0,0,0,2,"The purpose of the flight was for the instructor pilot to administer second-in-command (SIC) flight training to the commercial pilot in the twin-engine aircraft. According to the training manual, SIC training encompassed 4 hours of normal and emergency flight maneuvers to include stalls in the landing and takeoff configuration and while turning at a 15-30 degree bank. A witness heard the airplane's engines and observed the airplane from her driveway. The witness stated that as ""the [engine] noise was getting louder and louder, I spotted it spiraling downward."" The witness thought that the airplane was performing aerobatics; however, the airplane was getting too close to the ground. The witness heard a loud thud, and approximately 3 seconds later, she heard a loud boom and saw black smoke billow up. Another witness stated that she observed the airplane ""going nose first straight down and spinning...counterclockwise."" She thought the airplane was performing aerobatic maneuvers; however, the airplane did not stop descending. The airplane disappeared behind trees and the witness heard a loud explosion and saw smoke. She added that she did not observe what the airplane was doing prior to seeing it in a ""downward spiral."" Radar data depicted the airplane at 8,400 feet msl for the last 2 minutes and 26 seconds of the flight. The recorded aircraft ground speed during that time period fluctuated between 75 and 59 knots. The final radar returns depicted the airplane as making a 180 degree turn before radar contact was lost. No mayday calls were received from the airplane. The airplane impacted the ground in a near wings level attitude and was consumed by a post-crash fire. No anomalies were noted with the airplane or its engines during a post-accident examination. It is unknown which of the pilots was flying the airplane at the time of the accident.",Human factor
6/14/2000,9H 50M 0S,Piper PA-31-350 Navajo Chieftain,Air Navigation %26 Trading Company,G-BMBC,Landing (descent or approach),Ambulance,No,"Lake, Sea, Ocean, River",Douglas - Liverpool,31-7952172,1979,NA,Liverpool-John Lennon (ex Speke) Merseyside,United Kingdom,Europe,1,1,4,4,0,5,"The aircraft, operated by an Air Operator's Certificate holder, was engaged on an air ambulance operation from Ronaldsway in the Isle of Man to Liverpool. Having flown under VFR on a direct track to the Seaforth dock area of Liverpool the pilot flew by visual reference along the northern coast of the Mersey Estuary to carry out a visual approach to Runway 09 at Liverpool. During the turn on to the final approach, when approximately 0.8 nm from the threshold and 0.38 nm south of the extended centreline, the aircraft flew into the sea and disappeared. All five occupants were killed.",Human factor
6/20/2000,17H 50M 0S,Ilyushin II-76,Russian Air Force - Voyenno-vozdushnye sily Rossii,RA-76723,Landing (descent or approach),Government,Yes,Airport (less than 10 km from airport),Makhatchkala – Privolzhskiy – Vozzhayevka – Khabarovsk,00734 75245,1987,NA,Privolzhskiy AFB (Astrakhan) Astrakhan oblast,Russia,Asia,7,0,221,0,0,0,"The aircraft departed Makhachkala on a flight to Khabarovsk with intermediate stops at Privolzhskiy AFB and Vozzhayevka AFB, carrying 221 passengers and a crew of seven on behalf of the Russian Ministry of Defense. Some 23 minutes after takeoff from Privolzhskiy AFB, while cruising at an altitude of 6,100 metres, the crew encountered technical problems with the fuel system and was cleared to return for an emergency landing. While descending to Privolzhskiy AFB, the flaps could not be lowered and a fire erupted in the left wing. After touchdown, the aircraft was unable to stop within the remaining distance, overran, lost its undercarriage and came to rest 200 metres further, bursting into flames. All 232 occupants evacuated safely while the aircraft was destroyed by a post crash fire.",Technical failure
6/27/2000,NA,Kawasaki C-1,Japan Air Self-Defense Force - Koku Jieitai,88-1027,Flight,Test,No,"Lake, Sea, Ocean, River",Yonago AFB - Yonago AFB,8027,NA,NA,Shimano Kansai,Japan,Asia,8,8,0,0,0,8,"The crew (four pilots and four technicians) departed Yonago-Miho AFB on a post maintenance local flight. After several circuits, while in cruising altitude, the aircraft entered an uncontrolled descent and crashed in the sea off Shimano. All eight occupants were killed.",Technical failure
6/29/2000,22H 19M 0S,Douglas A-26 Invader,Air Spray,CF-EZX,Landing (descent or approach),Fire fighting,Yes,Airport (less than 10 km from airport),Loon River - La Biche Lake - Grand Prairie,18807,1943,NA,Grande Prairie Alberta,Canada,North America,1,0,0,0,0,0,"The pilot, sole on board, departed Loon River Airport on a fire fighting mission to La Biche Lake under callsign Tanker 3. While returning to Grand Prairie Airport, on final approach to runway 25, both engines failed almost simultaneously. The pilot attempted an emergency landing when the aircraft crashed 3 km short of runway. The pilot was injured and the aircraft was damaged beyond repair.",Human factor
7/2/2000,10H 50M 0S,GAF Nomad N.22,Philippine Air Force - Hukbong Himpapawid NG Pilipinas,86,Landing (descent or approach),Military,Yes,"Lake, Sea, Ocean, River",Cagayancillo – Puerto Princesa,86,1979,NA,Cagayancillo Palawan,Philippines,Asia,4,4,11,10,0,14,"Few minutes after takeoff from Cagayancillo Airport, the pilot reported engine problems and was cleared to return for an emergency landing. On final approach, the aircraft was not properly aligned so the captain increased engine power and initiated a go-around. The aircraft lost height and crashed in the sea about 2 km offshore. A passenger was rescued while 14 other occupants were killed, among them General Santiago Madrid, Chief of the southwestern military command.",Technical failure
7/7/2000,15H 55M 0S,Piper PA-46 (Malibu/Meridian/Mirage/Matrix/M-Class),Convergence Aviation,N44DN,Flight,Test,Yes,"Plain, Valley",Bournemouth - Bournemouth,46-22116,1990,NA,Lytchett Matravers Dorset,United Kingdom,Europe,1,0,2,0,0,0,"The aircraft was undergoing a shakedown flight after having completed a 100 hr maintenance inspection and other engineering work at Bournemouth Airport. The pilot was not the owner of the aircraft, but had been requested to carry out the shakedown flight. There was no technical log available prior to the flight which could have indicated the quantity of fuel remaining on board, or when the aircraft was previously refuelled and the subsequent flight times. The pilot recalled that the fuel tank gauges showed the aircraft had 22 gall US in the left wing and 40 gall US in the right wing, a total fuel contents of 62 gall US. The Aircraft Flight Manual indicates that the maximum allowable lateral fuel imbalance is 10 gall US. The aircraft started up at 1448 hrs and taxied for departure from Runway 26. The right tank was selected for take off and the first part of the flight. The aircraft climbed to FL180 and the required engine checks were carried out satisfactorily. As the aircraft was being turned around in order to return to Bournemouth, the pilot recalled that the right fuel quantity indicator steadily dropped to zero. This caused him little concern at the time as the left fuel tank had only been selected for part of the taxi out. The aircraft was also fitted with a digital 'fuel endurance remaining' indicator, which apparently indicated 'one hour' fuel endurance. Descent was commenced and the aircraft was transferred to Bournemouth Approach control in order to position it on radar for an ILS approach to Runway 08. At this time, the pilot recalled that the fuel flow and rpm indicators began to fluctuate, so he selected the left fuel tank to feed to the engine. The aircraft was given radar vectoring and the pilot requested a turn to avoid a cloud build up before becoming established on the ILS. The radar controller indicated that the aircraft had become established on the localiser at a range of 25 nm, in the descent to 3,000 feet amsl. At about ten miles from touchdown the engine fuel flow and RPM again fluctuated. The pilot reselected the right fuel tank but the engine did not recover. Reselecting the left tank restored power briefly but then the engine failed again. The pilot turned the aircraft to the left off the ILS and attempted to identify suitable sites for a forced landing. An open field with an uphill gradient was selected, the landing gear and full flap were selected. However, the aircraft touched down further into the field than the pilot would have wished. The touchdown was smooth but the pilot could not stop the aircraft before it ran into the far boundary hedge. The left wing was severely damaged during the impact sequence. There was no fire and the three occupants vacated the aircraft by the normal means, having sustained only minor injuries.",Human factor
7/8/2000,4H 55M 0S,Cessna 402,M %26 N Aviation,N405MN,Flight,Postal (mail),No,"Lake, Sea, Ocean, River",San Juan - Christiansted,402C-0221,1979,NA,Vieques All Puerto Rico,Puerto Rico,Central America,1,1,0,0,0,1,"After departure from San Juan, the pilot of N405MN contacted the FAA San Juan Approach Control, was identified on radar by the controller, and told to climb to 7,000 feet. About 1 minute later, the pilot is told to proceed direct to St. Croix. About 4 minutes later, the pilot requested radar vectors to St. Croix, and was told to fly heading 140 degrees. Radar data showed the flight leveled at the cruise altitude of 7,000 feet at about 0444. At about 0453:36, the pilot requested a lower altitude, and was cleared to 2,000 feet. The pilot acknowledged the clearance, and no further transmissions were received from the pilot. The flight began descent from 7,000 feet at about 0454. At 0454:29, the aircraft's transponder reports the flight is at 6,500 feet. At 0454:41, the transponder reports the flight is at 5,600 feet, and at 0454:49, at 4,000 feet. At 0454:53, the transponder reports the flight is at 1,100 feet. The flight is not observed on radar after this. No other aircraft or radar returns are observed near the flight as it began it's descent. One main landing gear tire, wheel, and brake assembly; the left wing lower skin from the area above the wing flap; the left wing baggage compartment door; the right nose baggage compartment door; the cabin floor cover; and some items from the U.S. mail cargo, were recovered floating in the ocean, at points north of the last observed radar contact with the airplane, on the day of the accident and in the days after the accident. The recovered components had damage from being separated from the airplane. None of the recovered components had any fire, heat, or soot damage. The remainder of the airplane was not located and recovered. The depth of the sea in the area of the accident site was reported by the Coast Guard to be about 6,000 feet. U.S. Post Office personnel reported the flight carried 1,517 pounds of U.S. mail. No hazardous materials were in the mail. A 75-pound pouch of mail was recovered from the ocean and identified as having been placed on N405MN. The weather at the time of the accident was reported to scattered clouds with visibility 10 miles.",Unknown
7/15/2000,NA,Canadair CL-215,Hellenic Air Force - Elleniki Polemiki Aeroporia,1048,Flight,Fire fighting,No,Mountains,Volos - Volos,1048,1974,NA,Volos Thessaly / Tessa<U+03BB><U+03AF>a,Greece,Europe,2,2,0,0,0,2,"The crew departed Volos-Nea Anchialos Airport on a fire fighting mission over Mt Pelion, about 10 km northeast of Volos. While flying at low height, the crew was preparing to drop water when the right wing struck the ground. The aircraft crashed and exploded, killing both pilots.",Human factor
7/19/2000,31M 0S,Grumman G-159 Gulfstream I,Airwave Transport,C-GNAK,Flight,Postal (mail),No,"Plain, Valley",Moncton - Montreal,154,1965,NA,Linneus Maine,United States of America,North America,2,2,0,0,0,2,"The airplane was in cruise flight at 16,000 feet, in instrument meteorological conditions. About two minutes after the crew ceased cross-feeding due to a fuel imbalance, the left engine experienced a total loss of power. About one minute later, the co-pilot indicated to the pilot-in-command (PIC) that the airplane was losing airspeed, and about 15 seconds later, the co-pilot remarked ""keep it up, keep it up."" Shortly thereafter, the airplane departed controlled flight and impacted terrain. The airplane was destroyed by fire and impact forces. Examination of the left engine revealed no evidence of any pre-impact failures that would have accounted for an uncommanded in-flight shut-down. A SIGMET for potential severe clear icing was effective for airplane's flight path; however, the flight crew did not report or discuss any weather related problems around the time of the accident. At the time of the accident, the airplane was above its single-engine service ceiling. The PIC had accumulated approximately 6,000 hours of total flight experience, of which, about 500 hours were as PIC in make and model. The co-pilot had approximately 600 hours of total fight experience, of which, 300 hours were in make and model.",Human factor
7/25/2000,6H 0M 0S,Lockheed C-130 Hercules,Royal Jordanian Air Force,348,Flight,Training,No,Airport (less than 10 km from airport),King Hussein AFB - King Hussein AFB,4073,1965,NA,King Hussein AFB (Mafraq) Mafraq,Jordan,Asia,7,7,6,6,0,13,"The four engine aircraft was dispatched at King Hussein AFB for a local training mission on behalf of the Jordan Special Forces. While flying at an altitude of 1,000 feet in the vicinity of the airbase, the crew encountered an unexpected situation when the aircraft that entered an uncontrolled descent. At low height, the crew attempted a last correction manoeuvre to avoid power cables when the aircraft crashed in a huge explosion. All 13 occupants were killed. It was reported that the crew encountered unknown technical problems.",Technical failure
